s,Faction,Front Name,Era,Cost,Front Factory,Upgrade1,Upgrade2,Back Name,Back Factory,Input,Front Output,Front Efficiency,Back Output,Back Efficiency,Upgrades
316,Colonies,Bellatrix,1,Bid,"W,➪w",Y→,,Bellatrix,"D,➪Y",,,,,,
317,Colonies,Achernar,1,Bid,"I,➪w",T→,,Achernar,"J,➪T",,,,,,
318,Colonies,Procyon,1,Bid,"D,➪b",Y→,,Procyon,"W,➪Y",,,,,,
319,Research,Mechanical Engineers,1,Bid,Y4/U2→$1X,,,Nanotechnology,,,,,,,
320,Research,Computational Theoreticians,1,Bid,w6/T4→$1X,,,Quantum Computers,,,,,,,
321,Research,Linguistic Analysts,1,Bid,g6/B4→$1X,,,Universal Translator,,,,,,,
322,Research,Organic Chemists,1,Bid,b6/T4→$1X,,,Genetic Engineering,,,,,,,
323,Research,Pharmaceutical Scientists,1,Bid,g6/U2→$1X,,,Clinical Immortality,,,,,,,
324,Research,Sociologists,1,Bid,w6/B4→$1X,,,Ubiquitous Cultural Repository,,,,,,,
325,Research,Nuclear Physicists,1,Bid,b6/Y4→$1X,,,Atomic Transmutation,,,,,,,
326,Research,Comparative Physiologists,2,Bid,b9/B6→$3X,,,Interspecies Medical Exchange,,,,,,,
327,Research,N-Space Mathematicians,2,Bid,T8/U4→$4X,,,Hyperspace Mining,,,,,,,
328,Research,Gravitic Topologists,2,Bid,b12/g12→$4X,,,Singularity Control,,,,,,,
329,Research,Metaethicists,2,Bid,Y7/B7→$4X,,,Cross Species Ethical Equality,,,,,,,
330,Research,Quantum Theoreticians,2,Bid,g9/T6→$3X,,,Antimatter Power,,,,,,,
331,Research,Quantum Statisticians,2,Bid,w12/U4→$4X,,,Achronal Analysis,,,,,,,
332,Research,Organic Architects,2,Bid,w9/Y6→$3X,,,Organic Construction,,,,,,,
333,Research,Stellar Architectural Planners,3,Bid,T14/Y14→$11X,,,Megastructures,,,,,,,
334,Research,Psychohistorians,3,Bid,B12/U6→$9X,,,Social Exodus,,,,,,,
335,Research,Subquantum Manipulators,3,Bid,g18/w18→$9X,,,Matter Generation,,,,,,,
336,Research,Memetic Artists,3,Bid,b18/w18→$9X,,,Galactic Telecomm Control,,,,,,,
337,Research,Interspecies Managers,3,Bid,T11/B11→$8X,,,Poly Species Corporations,,,,,,,
338,Research,Cultural Diffusionologists,3,Bid,g15/Y10→$7X,,,Xeno Cultural Exchange,,,,,,,
339,Research,Chronophysicists,3,Bid,b18/U6→$9X,,,Temporal Dilation,,,,,,,
340,Research,Cultural Polymorphologists,4,Bid,w18/b18/U6→$8X,,,Cultural Polymorphologists,,,,,,,
341,Research,Reconstructive Paleobotanists,4,Bid,w21/g21/U7→$10X,,,Reconstructive Paleobotanists,,,,,,,
342,Research,Abiotic Pathologists,4,Bid,w24/Y18/U8→$12X,,,Abiotic Pathologists,,,,,,,
343,Research,Interphasal Theoreticians,4,Bid,b24/g24/U8→$12X,,,Interphasal Theoreticians,,,,,,,
344,Research,Mesoscale Geoengineers,4,Bid,b27/Y18/U9→$14X,,,Mesoscale Geoengineers,,,,,,,
345,Research,Sapience Developers,4,Bid,w21/Y14/B14→$10X,,,Sapience Developers,,,,,,,
346,Research,Autonomic Teleoperators,4,Bid,T12/Y12/B12→$8X,,,Autonomic Teleoperators,,,,,,,
347,Research,Fractal Microbiologists,4,Bid,w21/g21/T14→$10X,,,Fractal Microbiologists,,,,,,,
348,Research,Stellar Plasma Flow Engineers,4,Bid,w21/T14/B14→$10X,,,Stellar Plasma Flow Engineers,,,,,,,
349,Research,Chaos Theoreticians,4,Bid,g18/Y12/B12→$8X,,,Chaos Theoreticians,,,,,,,
350,Research,Oceanographic Biotechnicians,4,Bid,b18/T12/U6→$8X,,,Oceanographic Biotechnicians,,,,,,,
351,Research,Recursive Metatheoreticians,4,Bid,w30/b30/B20→$16X,,,Recursive Metatheoreticians,,,,,,,
352,Research,Singularity Control Technicians,4,Bid,B20/T20/U10→$16X,,,Singularity Control Technicians,,,,,,,
353,Research,Applied Topologists,4,Bid,w30/b30/Y20→$16X,,,Applied Topologists,,,,,,,
354,Research,Metacognitive Ecologists,4,Bid,g30/T20/U10→$16X,,,Metacognitive Ecologists,,,,,,,
355,Research,Plasma Auxonologists,4,Bid,g24/b24/Y16→$12X,,,Plasma Auxonologists,,,,,,,
356,Research,Psychohistorical Ethicists,4,Bid,g27/w27/B18→$14X,,,Psychohistorical Ethicists,,,,,,,
357,Research,Tachyon Astrotechnicians,4,Bid,g30/Y20/T20→$16X,,,Tachyon Astrotechnicians,,,,,,,
358,Research,In Situ Genetic Editors,4,Bid,g24/b24/B16→$12X,,,In Situ Genetic Editors,,,,,,,
359,Research,Macroscale Biophysicists,4,Bid,b27/B18/T18→$14X,,,Macroscale Biophysicists,,,,,,,
360,Confluence,4 players; turn 6; bonus 2/0,0,Common,,,,,,,,,,,
361,Confluence,7+ players; turn 6; bonus 0/0,0,Common,,,,,,,,,,,
362,Confluence,"5,6 players; turn 6; bonus 1/0",0,Common,,,,,,,,,,,
363,Confluence,7+ players; turn 1; bonus 7/2,0,Common,,,,,,,,,,,
364,Confluence,4-6 players; turn 1; bonus 6/3,0,Common,,,,,,,,,,,
365,Confluence,5+ players; turn 2; bonus 6/2,0,Common,,,,,,,,,,,
366,Confluence,5+ players; turn 3; bonus 5/1,0,Common,,,,,,,,,,,
367,Confluence,4 players; turn 2; bonus 5/2,0,Common,,,,,,,,,,,
368,Confluence,4+ players; turn 4; bonus 4/1,0,Common,,,,,,,,,,,
369,Confluence,4 players; turn 3; bonus 4/2,0,Common,,,,,,,,,,,
370,Confluence,4-5 players; turn 5; bonus 3/1,0,Common,,,,,,,,,,,
371,Confluence,6+ players; turn 5; bonus 2/0,0,Common,,,,,,,,,,,
372,Unity,Starting Race Card,,Reference,UAAAaaaa,1 Colony,1 Research Team,,,,,,,,
373,Kjasjavikalimm Directorate,Starting Race Card,,Reference,TYYBBgwbb****,2 Colonies,,,,,,,,,
374,Faderan Conclave,Starting Race Card,,Reference,"UYTwwwb**, NR",1 Colony,1 Research Team,,,,,,,,
375,Caylion Plutocracy,Starting Race Card,,Reference,BBgggggwwwwbb*,1 Colony with x2,,,,,,,,,
376,Im'dril Nomads,Starting Race Card,,Reference,UTBYggwwbbb****,,1 Research Team,,,,,,,,
377,Zeth Anocracy,Starting Race Card,,Reference,TTYBBgw*,,1 Research Team,,,,,,,,
378,Eni Et Ascendancy,Starting Race Card,,Reference,Tbbwwg*,1 Colony,,,,,,,,,
379,Kt'Zr'Kt'Rtl Adhocracy,Starting Race Card,,Reference,UTYBgggwwbbb,1 Colony,1 Research Team,,,,,,,,
380,Yengii Society,Starting Race Card,,Reference,UTYYBgwb,1 Colony,1 Research Team,,,,,,,,
381,Donation,Donation,,Starting,,,,Donation,,,,,,,
382,Donation,Donation,,Starting,,,,Donation,,,,,,,
383,Donation,Donation,,Starting,,,,Donation,,,,,,,
384,Donation,Donation,,Starting,,,,Donation,,,,,,,
385,Donation,Donation,,Starting,,,,Donation,,,,,,,
386,Donation,Donation,,Starting,,,,Donation,,,,,,,
387,Donation,Donation,,Starting,,,,Donation,,,,,,,
388,Donation,Donation,,Starting,,,,Donation,,,,,,,
389,Donation,Donation,,Starting,,,,Donation,,,,,,,
B1,Kjasjavikalimm Directorate,Balkanized States' Colonies,1,DIbYY→$,"T➪Bb+w,g➪**+w §",WJDbb→$$,,Outer Reaches Hegemony,"T➪Bb+w,g➪**+w,U➪$Y+wgb §",5.5,6.5,,14,,
B2,Kjasjavikalimm Directorate,Hadsja Vassal Territory,1,DJYYY→$$,BB➪UTbg,WDIYY→$$$,,Hadsja Empire,"BB➪UTbg,YYY➪Tbggww** §",7.5,6.5,0.867,15,2.000,
B3,Kjasjavikalimm Directorate,Vagnleg Suzarainty,1,DWYYY→$$,ww➪$Yb,JDIYY→$$$,,Vagnleg Domination,"ww➪$Yb,bbbb➪$Ug* §",6,5.5,,13.5,,
